商品,到手价,佣金率,佣金,已售量,商品结束时间,近2小时销售量,近24小时销售量,店铺信息,描述相符,物流服务,服务态度,当前时间
"【靓点拍】蓝牙自拍杆多功能手机支架便携落地手持三脚架补光直播",39.9,30.0%,11.97,已售：23.8万,结束：2023-12-01,1.7万,6.7万,靓点拍数码旗舰店,4.96,4.93,4.8,2023-04-18 20:17:30.199
"【9.9元100根】尼龙扎带 松紧可调 可拆卸重复使用 捆扎活扣塑料",9.9,57.0%,5.64,已售：26.6万,结束：2023-06-04,1.8万,11.8万,妍宴百货,4.99,4.94,4.9,2023-04-18 20:17:30.284
"李森车载手机支架仪表台粘贴汽车导航可折叠磁吸支架苹果安卓通用",99.0,20.0%,19.8,已售：6.1万,结束：2023-05-31,,,LISEN李森官方旗舰店,4.96,4.98,4.76,2023-04-18 20:17:30.399
"WEKOME维品特机甲65W氮化镓充电器适用苹果华为一拖三多口快充头",299.0,21.0%,62.79,已售：1.1万,结束：2024-02-14,1496,5802,WEKOME数码店,4.9,4.96,4.6,2023-04-18 20:17:30.507
"2023新款耳夹式蓝牙耳机不入耳无线运动骨传导蓝牙耳机游戏通用",198.0,20.0%,39.6,已售：8678,结束：2024-05-31,,,LEAPCOVER数码旗舰店,4.94,4.96,4.85,2023-04-18 20:17:30.618
"【靓点拍】加长加固手机蓝牙自拍杆支架直播拍照手持落地三脚架",69.0	,30.0%,20.7,已售：3.8万,结束：2023-09-01,4178,1.6万,靓点拍数码旗舰店,4.96,4.93,4.8,2023-04-18 20:17:30.703
"无线领夹麦克风一拖二降噪录音收音耳麦直播声卡话筒回声户外推荐",138.0,30.0%,41.4,已售：1.7万,结束：2023-12-31,1540,7272,ZCJB旗舰店,4.97,4.91,4.72,2023-04-18 20:17:30.783
"小天实木阅读架升降桌面看书阅读支架学生读书绘本写字多功能神器",99.8,20.0%,19.96,已售：2.0万,结束：2023-07-31,,,小天官方旗舰店,4.97,4.79,4.54,2023-04-18 20:17:30.893
"古量苹果13/12/11/14promax气囊防窥膜iPhone XS/XR/8p防尘钢化膜",12.8,30.0%,3.84,已售：32.7万,结束：2023-06-30,1.9万,7.9万,古量旗舰店,4.59,4.98,4.98,2023-04-18 20:17:30.995
"智能小夜灯 语音 声控 阅读灯声控 开关灯 LED小夜灯 说话 控制灯",6.99,28.0%,1.96,已售：30.3万,结束：2024-04-26,2.1万,15.2万,泰洋数码,4.79,4.87,4.63,2023-04-18 20:17:31.085
"Philips/飞利浦5号7号碳性电池遥控器时钟体重秤简易玩具适用",19.8,25.0%,4.95,已售：97.3万,结束：2024-04-01,1.3万,,飞利浦海明视专卖店,4.99,4.77,4.71,2023-04-18 20:17:31.174
"【2023新版 房屋租赁合同】出租房合同房东中介租赁协议复写本",19.9,53.0%,10.55,已售：137.6万,结束：2023-06-30,3195,2.6万,招财猫文化,4.96,4.74,4.71,2023-04-18 20:17:31.293
"咪鼠M4Pro智能鼠标语音打字翻译无线蓝牙充电便携笔记本办公通用",278.0,30.0%,83.4,已售：3.1万,结束：2023-11-30,478,2627,咪鼠科技旗舰店,4.98,4.92,4.84,2023-04-18 20:17:31.389
"阿尔法蛋词典笔Q3智享版 护眼点读笔智能学习英语翻译家教扫读",399.0,20.0%,79.8,已售：8139,结束：2023-07-12,,,阿尔法蛋官方旗舰店,4.97,4.97,4.93,2023-04-18 20:17:31.494
"DERE/戴睿新品笔记本电脑全新15.6寸11代CPU商务办公本RBX01",1399.0,11.0%,153.89,已售：499,结束：2023-05-31,47,353,DERE戴睿博秀笔记本电脑专卖店,4.99,4.68,4.74,2023-04-18 20:17:31.589
"手持小风扇可充电迷你便携风扇静音usb大风力持久续航静音小电扇",9.9,25.0%,2.48,已售：11.6万,结束：2023-06-30,4.0万,,利凡严选,4.99,4.88,4.7,2023-04-18 20:17:31.685
"手机喇叭孔防尘网贴扬声器适用于iPhone安卓type-c充电孔防灰贴",9.9,51.0%,5.05,已售：34.5万,结束：2023-06-01,7354,3.6万,明科数码,4.95,4.93,4.58,2023-04-18 20:17:31.785
"Dp久量1226二合一0度贴墙紫光灯诱蚊锂电可折叠电蚊拍便携充电",29.9,15.0%,4.48,已售：37.2万,结束：2023-05-31,2.2万,3.7万,久量官方旗舰店,4.99,4.98,4.81,2023-04-18 20:17:31.886
"智能小夜灯语音声控阅读灯声控开关灯LED小夜灯说话控制灯",6.99,30.0%,2.1,已售：10.9万,结束：2024-06-15,2934,7.2万,高颜值工厂店,4.74,4.93,4.68,2023-04-18 20:17:31.987
"适用华为66W超级快充/iPhone20WPD充电器套装",9.99,16.0%,1.6,已售：9.0万,结束：2024-04-01,1.6万,,猫哥甄选,4.98,4.81,4.96,2023-04-18 20:17:32.089
"手机稳定器智能防抖手持vlog三轴云台手机支架拍照平衡360度旋转",288.0,18.0%,51.84,已售：7002,结束：2023-07-01,688,2607,高达数码专营店,4.75,4.97,4.88,2023-04-18 20:17:32.199
"【靓点拍】 AI智能云台自动人脸识别360°跟拍平衡防抖手机拍摄",129.0,35.0%,45.15,已售：4405,结束：2023-10-07,324,2356,靓点拍数码旗舰店,4.96,4.93,4.8,2023-04-18 20:17:32.288
"Canon/佳能TS3380彩色小型喷墨家用手机无线打印复印一体A4打印机",448.0,8.0%,35.84,已售：5.8万,结束：2024-03-31,,,佳能盛瑞打印机专卖店,4.93,4.92,4.97,2023-04-18 20:17:32.359
