商品,到手价,佣金率,佣金,已售量,商品结束时间,近2小时销售量,近24小时销售量,店铺信息,描述相符,物流服务,服务态度,采集时间
【明星推荐 不满意全额退】美白洗面奶 男女通用美白烟酰胺净肤s2,59.99,36.00%,21.6,已售：49.9万,结束：2023-09-30,14.2万,,国货美妆严选,4.89,4.98,,2023-04-18 21:38:26.809
【9.9元90枚】双眼皮贴雷斯自然无痕隐形防水肤色肿眼泡男女通用,9.9,41.00%,4.06,已售：235.9万,结束：2023-12-31,47.1万,,贝纳优选,3.64,4.99,,2023-04-18 21:38:26.904
【粉丝福利】100袋冻干粉免洗睡眠面膜嫩肤补水保湿奶白提亮肤色,9.9,12.00%,1.19,已售：1642.9万,结束：2024-01-31,94.7万,,多多美护肤精选个体店,4.87,4.82,,2023-04-18 21:38:27.006
【防晒+隔离 二合一】防晒霜SPF50PA+++隔离防晒防水防汗防紫外线,39.9,48.00%,19.15,已售：95.6万,结束：2025-03-01,4.9万,,搏盈美妆专营店,4.85,4.9,,2023-04-18 21:38:27.109
C咖双管洗面奶白泥清洁氨基酸控油黑头去保湿洁面乳男女小杨哥,65.9,25.00%,16.48,已售：90.6万,结束：2023-08-31,5.3万,,C咖官方旗舰店,4.84,4.32,,2023-04-18 21:38:27.203
双眼皮贴隐形肿眼泡蕾丝仿真隐形自然无痕单眼皮防水防汗男女通用,12.9,51.00%,6.58,已售：57.1万,结束：2023-07-31,,,糯壹美妆好物严选,4.81,3.3,,2023-04-18 21:38:27.309
【官方直售】透蜜水嫩修颜隔离霜妆前乳修饰提亮肤色正品直播推荐,59.9,35.00%,20.96,已售：126.0万,结束：2024-04-30,2.1万,,透蜜官方旗舰店,4.58,4.99,,2023-04-18 21:38:27.429
【二裂酵母精华水乳套装】缓解敏感肌层层呵护肌肤滋润补水精华乳,38,46.00%,17.48,已售：207.6万,结束：2023-11-17,4.1万,,药都仁和美妆旗舰店,4.99,4.98,,2023-04-18 21:38:27.537
Judydoll橘朵高光修容一体盘自然哑光提亮阴影鼻影  大地色修饰,59,27.00%,15.93,已售：97.6万,结束：2023-05-31,2.9万,,橘朵官方旗舰店,4.88,4.96,,2023-04-18 21:38:27.619
梵蜜琳贵妇膏官方旗舰店正品素颜修护抗皱面霜提亮紧致滋养保湿,290,45.00%,130.5,已售：10.2万,结束：2023-09-01,,,梵蜜琳官方旗舰店,4.5,4.9,,2023-04-18 21:38:27.727
【官方直售】rnw去黑头鼻贴官方旗舰店导出液清洁黑头推荐通用,49,25.00%,12.25,已售：306.1万,结束：2023-05-31,4.8万,,RNW如薇官方旗舰店,4.97,4.96,,2023-04-18 21:38:27.809
