商品,到手价,佣金率,佣金,已售量,商品结束时间,近2小时销售量,近24小时销售量,店铺信息,描述相符,物流服务,服务态度,当前时间
"【4袋装】裙带菜梗丝开胃香辣酸甜即食凉拌菜下饭小咸菜喝酒小菜",29.9,46.0%,13.75,已售：66.9万,结束：2024-02-17,738,20.5万,美妙食客,4.94,4.99,4.65,2023-04-18 21:45:52.974
"【主播推荐】【1～3两果】临安天目山小香薯红薯番薯现挖5斤净重",29.8,15.0%,4.47,已售：83.2万,结束：2023-09-28,,,农食谷,4.81,4.96,4.77,2023-04-18 21:45:53.069
"【推荐】正宗黄金玉米饼 手工玉米煎饼 糍粑糯米年糕粗粮包谷粑粑",26.6,26.0%,6.92,已售：19.8万,结束：2023-09-01,8.0万,,馋三香旗舰店,4.98,4.91,4.77,2023-04-18 21:45:53.187
"鸡蛋灌饼20片 加赠 品牌专用酱料 健康轻食早餐方便速食 极速发货",29.9,32.0%,9.57,已售：29.6万,结束：2023-10-16,2.6万,11.4万,州城鸿福记生鲜旗舰店,4.99,4.96,4.94,2023-04-18 21:45:53.325
"韩小欠宝宝裙带菜 35g免洗",9.8,35.0%,3.43,已售：160.3万,结束：2024-07-23,5.4万,32.7万,韩小欠官方旗舰店,4.99,4.98,4.75,2023-04-18 21:45:53.437
"【早食光现货！】老长沙烧麦儿时经典味道梅干菜玉米火腿1100g/袋",29.6,20.0%,5.92,已售：62.5万,结束：2023-10-31,3.8万,16.5万,早食光生鲜旗舰店,4.98,4.99,4.87,2023-04-18 21:45:53.535
"春饼皮卷饼350g *4袋春饼半成品小吃速食开袋即食营养营养无油",19.9,32.0%,6.37,已售：61.1万,结束：2023-06-30,2.2万,13.5万,李大爷食品旗舰店,4.93,4.95,4.61,2023-04-18 21:45:53.639
"【现货】叮叮懒人菜酸菜鱼450g*3黑鱼半成品菜肴正宗川菜做法新鲜",79.0,15.0%,11.85,已售：222.1万,结束：2023-07-31,1.2万,6.8万,叮叮懒人菜官方旗舰店,4.99,4.98,4.99,2023-04-18 21:45:53.753
"亲耕 开袋即食脱皮玉米粒 甜糯水果玉米低脂代餐易消化轻食60g/袋",39.9,25.0%,9.98,已售：56.4万,结束：2024-03-02,1.6万,8.1万,亲耕官方旗舰店,4.96,4.93,4.6,2023-04-18 21:45:53.856
"新人【39元10包】霞浦压缩家常海带丝高倍泡发鲜嫩脆爽免洗16g/包",29.0,42.0%,12.18,已售：7.1万,结束：2025-12-31,,,小陈菇事优选店,4.9,4.98,4.53,2023-04-18 21:45:53.949
