商品,到手价,佣金率,佣金,已售量,商品结束时间,近2小时销售量,近24小时销售量,店铺信息,描述相符,物流服务,服务态度,当前时间
"【9.9元100只】防水迷你圆形贴隐形透气防磨贴户外应急脚后跟贴",9.9,43.0%,4.26,已售：259.9万,结束：2023-08-31,40.4万,181.8万,瑞兴丰优选店,4.96,4.95,4.73,2023-04-18 21:13:16.863
"必迈远征者Pure运动透气减震跳绳跳操时尚男女同款跑步耐磨慢跑鞋",269.0,27.0%,72.63,已售：34.0万,结束：2024-03-31,9836,2.6万,必迈BMAI官方旗舰店,4.99,4.99,4.99,2023-04-18 21:13:16.955
"防水迷你圆形贴 隐形透气防磨贴 ",9.9,40.0%,3.96,已售：124.4万,结束：2023-07-31,2.6万,25.5万,星泽家居日用馆,4.96,4.84,4.97,2023-04-18 21:13:17.063
"Mizuno/美津浓夏季新款男女透气网面缓震耐磨运动跑步鞋RACER S",378.0,18.0%,68.04,已售：4.4万,结束：2023-09-30,5905,,Mizuno美津浓官方旗舰店,4.77,4.41,4.99,2023-04-18 21:13:17.158
"FED网球训练器亲子套装网球拍单人训练器带绳回弹初学者儿童陪练",39.0,34.0%,13.26,已售：32.6万,结束：2024-03-31,1.6万,5.2万,fed,4.9,4.96,4.93,2023-04-18 21:13:17.248
"【19.9拍一发六】云南中草药牙膏",19.9,51.0%,10.15,已售：8.3万,结束：2024-04-30,5254,7.4万,鼎达供应链,4.94,4.55,4.96,2023-04-18 21:13:17.351
"Umay/佑美无绳跳绳健身运动电子计数负重跳绳全民健身两用体测-XY",38.9,24.0%,9.34,已售：19.5万,结束：2024-03-31,,,Umay佑美官方旗舰店,4.99,4.89,4.62,2023-04-18 21:13:17.441
"薏凡特运动内衣背心文胸薄款速干聚拢防震收副乳防下垂高颜舒适",269.0,30.0%,80.7,已售：2.5万,结束：2023-04-30,1030,5017,Yvette薏凡特官方旗舰店,4.99,4.99,4.92,2023-04-18 21:13:17.531
"Mizuno/美津浓男女23年春季新款缓震回弹网面透气复古跑步鞋SPEED",278.0,18.0%,50.04,已售：1.4万,结束：2023-09-30,5655,,Mizuno美津浓官方旗舰店,4.77,4.41,4.99,2023-04-18 21:13:17.626
"玩觅23年爆款避震透气网面爽跑鞋赛车级避震鞋减震缓震跳绳鞋通用",399.0,20.0%,79.8,已售：17.6万,结束：2023-08-01,1028,5130,玩觅跑步旗舰店,4.99,4.98,4.82,2023-04-18 21:13:17.723
"博舒健环形夹按摩夹独立滚轮小腿手臂按摩放松七轮滚轮",19.9,50.0%,9.95,已售：16.3万,结束：2024-06-30,1.4万,5.3万,小乔的健身小店,4.99,4.67,4.71,2023-04-18 21:13:17.816
