id	pub_date	position	address	education	salary	company	rate	duration
1	2022-04-08	其他_1	深圳	本科	0.9	清博智能	0.5	7
2	2022-03-21	开发岗_1	南京	本科	3.5	华为	0.97	3
3	2022-04-14	其他_1	广州	本科	1.3	趣丸网络	0.98	4
4	2022-05-10	其他_1	北京/上海/深圳/成都/武汉/厦门	本科	1.3	美团	0.99	1
5	2022-03-04	开发岗_1	杭州	本科	2.75	光线云(杭州)科技有限公司	0.99	4
6	2022-05-09	开发岗_1	北京	本科	3.75	字节跳动	0.9	2
7	2022-03-20	设计岗_1	北京	本科	1.6	好未来	0.96	1
8	2022-04-10	工程师_1	上海	本科	0.8	上海军睿信息技术有限公司	1	7
9	2022-04-12	算法岗_1	上海/深圳/北京/成都/武汉/苏州	硕士	4.1	苏州异格技术有限公司	0.98	1
10	2022-03-18	开发岗_1	成都	本科	5.3	瀚博半导体(上海)有限公司	1	2
11	2022-04-06	其他_1	上海	本科	0.6	承集信息科技（上海）有限公司	0.09	1
12	2022-03-24	其他_1	北京/上海	硕士	1.3	微软	0.94	28
13	2022-03-19	其他_1	北京	本科	1.3	北京市创世宏景专利商标代理有限责任公司	1	3
14	2022-04-10	算法岗_1	北京	硕士	1.3	星制科技	0.99	31
15	2022-03-04	数据岗_1	上海/北京	本科	2.8	北京谊慧信息技术有限公司	0.98	2
16	2022-03-14	运营岗_1	福州	本科	0.8	福建国通星驿网络科技有限公司	1	6
17	2022-03-24	开发岗_1	北京	本科	1.7	博乐科技	0.91	48
18	2022-04-10	开发岗_1	南宁	本科	0.7	上海晨光科力普办公用品有限公司	0.3	1
19	2022-05-14	工程师_1	苏州	硕士	2.8	旺宏微电子	0.95	6
20	2022-04-07	工程师_1	苏州	本科	0.9	智杰数据	1	1
21	2022-04-12	开发岗_1	西安	本科	2.0	华为软件技术有限公司	0.91	2
22	2022-03-07	工程师_1	东莞	本科	3.0	华为	1	3
23	2022-05-14	其他_1	北京	学历不限	0.3	中科院软件所	0.36	1
24	2022-05-12	算法岗_1	北京/上海	本科	1.3	美团	0.99	1
25	2022-03-18	算法岗_1	杭州	本科	3.8	光线云(杭州)科技有限公司	0.99	4
26	2022-05-24	开发岗_1	北京/上海	本科	4.0	字节跳动	1	2
27	2022-04-08	开发岗_1	无锡	本科	0.2	牛客	0.5	7
28	2022-04-09	开发岗_1	成都	学历不限	1.0	展心展力	1	7
29	2022-03-20	开发岗_1	上海/北京/深圳/成都/武汉/苏州	本科	3.9	苏州异格技术有限公司	0.98	1
30	2022-03-28	开发岗_1	深圳	本科	1.7	快递100	0.98	3
31	2022-05-14	开发岗_1	广州	本科	1.1	广州乐创互动娱乐有限公司	0.96	5
32	2022-03-06	算法岗_1	湖州	本科	1.4	中国科大-德清阿尔法创新研究院	0.67	4
33	2022-03-10	其他_1	北京	本科	1.3	北京市创世宏景专利商标代理有限责任公司	1	3
34	2022-04-12	其他_1	北京	硕士	1.2	天融信	0.98	10
35	2022-05-14	开发岗_1	深圳	本科	1.3	深圳北芯生命科技股份有限公司	1	5
36	2022-04-07	其他_1	苏州	本科	1.5	以诺康	0.89	7
37	2022-03-20	策划岗_1	北京	本科	2.2	博乐科技	0.91	48
38	2022-03-28	其他_1	上海	本科	1.2	链家上海分公司1895	1	7
39	2022-03-07	工程师_1	苏州	硕士	2.8	旺宏微电子	0.95	6
40	2022-05-09	开发岗_1	广州	本科	1.3	三七互娱	0.84	3
41	2022-03-07	其他_1	上海	本科	0.9	上海人大人文化传播有限公司	1	2
42	2022-03-05	工程师_1	东莞	本科	4.0	华为	1	1
43	2022-03-06	工程师_1	广州/武汉/成都	本科	2.0	多益网络	0.99	2
44	2022-05-10	其他_1	北京/成都	本科	1.3	美团	0.99	1
45	2022-04-10	其他_1	北京/上海/广州/深圳/杭州/南京/成都	本科	2.6	猿辅导	0.99	1
46	2022-05-10	开发岗_1	北京/杭州	本科	0.4	字节跳动	1	7
47	2022-04-15	开发岗_1	无锡	本科	0.2	牛客	0.5	7
48	2022-03-28	其他_1	北京/上海/广州/杭州/深圳	本科	2.6	核桃编程	0.99	1
49	2022-03-21	开发岗_1	上海/深圳/北京/成都/武汉/苏州	本科	3.9	苏州异格技术有限公司	0.98	1
50	2022-04-06	开发岗_1	深圳	学历不限	0.6	快递100	0.98	3
51	2022-03-14	开发岗_1	广州	本科	1.1	广州乐创互动娱乐有限公司	0.96	5
52	2022-03-14	工程师_1	上海	本科	2.4	阿里巴巴	0.99	4
53	2022-04-12	其他_1	北京	本科	1.3	北京市创世宏景专利商标代理有限责任公司	1	3
54	2022-03-06	开发岗_1	深圳	本科	1.5	天融信	0.98	10
55	2022-03-07	工程师_1	北京/上海/广州/深圳	本科	3.0	百度	0.99	2
56	2022-04-07	其他_1	北京/上海/广州/深圳/杭州	本科	1.9	喜马拉雅fm	0.99	1
57	2022-03-10	其他_1	北京/上海/广州/深圳	本科	2.3	快手	0.99	2
58	2022-03-15	其他_1	上海	本科	1.2	链家上海分公司1895	1	7
59	2022-04-09	算法岗_1	苏州	硕士	2.8	旺宏微电子	0.95	6
60	2022-03-30	运营岗_1	上海	本科	2.9	上海人大人科技创新服务有限公司	0.97	11
61	2022-03-05	运营岗_1	上海	本科	0.9	上海人大人文化传播有限公司	1	2
62	2022-03-30	其他_1	广州/深圳/北京/上海	本科	2.2	58集团	0.99	2
63	2022-04-12	其他_1	广州	本科	1.3	三七互娱	0.84	3
64	2022-03-28	数据岗_1	北京/成都	本科	1.3	美团	0.99	1
65	2022-05-19	开发岗_1	北京	本科	2.1	Keep	0.99	2
66	2022-03-18	开发岗_1	北京/上海/杭州	本科	1.9	字节跳动	1	11
67	2022-05-24	其他_1	合肥/北京/上海/广州/深圳	本科	2.5	网易有道	0.99	3
68	2022-05-19	开发岗_1	北京/上海/广州/深圳/杭州	本科	3.0	核桃编程	0.99	2
69	2022-03-10	工程师_1	上海/深圳/北京/成都/武汉/苏州	硕士	4.3	苏州异格技术有限公司	0.98	1
70	2022-05-19	开发岗_1	深圳	本科	1.7	快递100	0.98	3
71	2022-05-15	其他_1	宁波/成都/北京/上海/重庆/广州	本科	1.2	中望软件	0.99	4
72	2022-03-15	其他_1	杭州	本科	2.7	阿里巴巴	0.99	4
73	2022-04-12	其他_1	北京	本科	1.3	北京市创世宏景专利商标代理有限责任公司	1	3
74	2022-04-14	开发岗_1	北京	本科	1.8	天融信	0.98	10
75	2022-03-20	其他_1	北京/上海/广州/深圳	本科	2.8	百度	0.99	2
76	2022-03-07	开发岗_1	北京/上海/广州/深圳/杭州/南京/成都/厦门/武汉/西安	本科	2.5	猿辅导	0.99	1
77	2022-03-23	开发岗_1	北京	本科	3.3	华为	1	2
78	2022-04-09	其他_1	上海	本科	1.2	链家上海分公司1895	1	7
79	2022-03-12	工程师_1	苏州	学历不限	1.2	旺宏微电子	0.95	6
80	2022-03-28	工程师_1	北京/西安/天津	本科	1.3	北京经纬恒润科技股份有限公司	0.65	4
81	2022-05-09	其他_1	上海	本科	0.9	上海人大人文化传播有限公司	1	2
82	2022-03-28	其他_1	广州/深圳/北京/上海	本科	2.0	58集团	0.99	2
83	2022-05-15	开发岗_1	广州/成都/武汉	学历不限	2.1	多益网络	0.98	2
84	2022-03-14	开发岗_1	北京/成都/上海	本科	1.3	美团	0.99	1
85	2022-03-18	其他_1	北京	本科	2.3	Keep	0.99	2
86	2022-03-05	开发岗_0	北京/上海/深圳/杭州/广州/成都/武汉/南京/西安/厦门/三亚/重庆/青岛	本科	4.5	字节跳动	0.74	1
87	2022-03-18	开发岗_1	杭州	本科	2.2	网易有道	0.99	3
88	2022-03-20	其他_1	上海	本科	0.9	上海科通实业有限公司	0.99	1
89	2022-03-24	工程师_1	上海/深圳/成都/北京/武汉/苏州	本科	3.9	苏州异格技术有限公司	0.98	1
90	2022-03-06	开发岗_1	深圳	本科	1.7	快递100	0.98	3
91	2022-04-08	开发岗_1	宁波/成都/北京/上海/重庆/广州	本科	1.9	中望软件	0.99	4
92	2022-05-12	其他_1	杭州	本科	1.5	慧策（北京掌上先机网络科技有限公司）	1	1
93	2022-05-15	开发岗_1	广州	本科	1.8	北京追光云启科技有限公司	0.45	7
94	2022-03-14	算法岗_1	北京	硕士	3.7	迁移科技	0.99	10
95	2022-03-20	其他_1	北京/上海/广州/深圳	本科	2.7	百度	0.99	2
96	2022-03-23	其他_1	北京	本科	1.5	高途	0.55	3
97	2022-03-05	开发岗_1	西安	本科	1.3	华为	1	7
98	2022-03-19	其他_1	上海	本科	1.2	链家上海分公司1895	1	7
99	2022-04-12	运营岗_1	海口	本科	1.2	拼多多	0.98	4
100	2022-05-14	开发岗_1	上海	本科	1.7	北京经纬恒润科技股份有限公司	1	3
101	2022-03-20	设计岗_1	上海	本科	0.9	上海人大人文化传播有限公司	1	2
102	2022-05-14	开发岗_1	广州/深圳/北京/上海	本科	2.0	58集团	0.99	2
103	2022-03-10	开发岗_1	北京	本科	3.2	好大夫在线	0.99	5
104	2022-03-10	其他_1	北京	本科	1.3	美团	0.99	1
105	2022-05-24	开发岗_1	北京	本科	3.2	Keep	0.99	2
106	2022-03-30	开发岗_0	北京/上海/广州/深圳/杭州/南京/成都/武汉/重庆	本科	4.5	字节跳动	0.87	1
107	2022-03-24	其他_1	杭州	本科	2.4	网易有道	0.99	3
108	2022-04-10	其他_1	上海	本科	0.9	上海科通实业有限公司	0.99	1
109	2022-03-20	工程师_1	上海/深圳/北京/成都/武汉/苏州	本科	3.9	苏州异格技术有限公司	0.98	1
110	2022-03-21	其他_1	上海	本科	0.6	上海祯华	1	7
111	2022-05-24	其他_1	深圳	本科	1.2	进化动力	0.98	1
112	2022-03-21	工程师_1	北京/上海	本科	1.4	上海蓝木化工有限公司	1	1
113	2022-04-10	开发岗_1	上海	本科	3.0	欢乐互娱	1	51
114	2022-03-03	开发岗_1	北京	本科	3.1	迁移科技	0.99	10
115	2022-03-07	开发岗_1	深圳	本科	1.3	安克创新科技股份有限公司Anker	0.5	7
116	2022-03-05	算法岗_1	上海	本科	3.9	蚂蚁集团	0.99	6
117	2022-04-12	数据岗_1	成都	本科	1.3	华为	0.5	7
118	2022-04-15	其他_1	上海	本科	1.2	链家上海分公司1895	1	7
119	2022-03-15	其他_1	长沙/常德	本科	1.0	拼多多	0.98	4
120	2022-04-09	开发岗_1	成都	本科	2.7	华为技术有限公司成都研究所	0.65	1
121	2022-04-14	运营岗_1	上海	本科	0.9	上海人大人文化传播有限公司	1	2
122	2022-05-09	开发岗_1	北京/天津	硕士	2.0	中科曙光	1	1
123	2022-03-04	开发岗_1	北京	本科	3.2	好大夫在线	0.99	5
124	2022-03-03	算法岗_1	北京/上海	本科	1.3	美团	0.99	1
125	2022-04-14	其他_1	上海	本科	0.9	泽尔测试	0.97	1
126	2022-04-20	开发岗_1	北京/上海/广州/深圳/杭州/南京/成都/厦门/武汉/西安	本科	1.3	字节跳动	0.99	1
127	2022-03-24	工程师_1	上海	硕士	4.4	智加科技	0.94	13
128	2022-03-19	运营岗_1	上海	本科	0.9	上海科通实业有限公司	0.99	1
129	2022-04-10	开发岗_1	西安/广州	本科	2.2	51talk无忧英语	1	2
130	2022-04-20	工程师_1	北京/上海/深圳	本科	4.7	SmartX	0.99	15
131	2022-04-08	其他_1	深圳	本科	0.9	进化动力	0.98	1
132	2022-04-10	工程师_1	北京	本科	1.4	上海蓝木化工有限公司	1	1
133	2022-03-23	开发岗_1	上海	本科	2.5	欢乐互娱	1	51
134	2022-04-20	算法岗_1	北京	硕士	3.7	迁移科技	0.99	10
135	2022-03-21	其他_1	北京	本科	1.5	高途	0.64	15
136	2022-03-03	其他_1	汕头	学历不限	1.0	国商信息资源	1	13
137	2022-05-24	工程师_1	南京/苏州	本科	1.3	华为	1	1
138	2022-03-03	其他_1	上海	本科	1.2	链家上海分公司1895	1	7
139	2022-03-20	其他_1	厦门/福州	本科	1.0	拼多多	0.98	4
140	2022-04-07	开发岗_1	上海	本科	1.8	兴业数金	0.98	4
141	2022-03-19	其他_1	上海	本科	0.9	上海人大人文化传播有限公司	1	2
142	2022-04-20	开发岗_1	上海	本科	3.0	吉首市名凡企业咨询中心	1	3
143	2022-03-20	开发岗_1	北京	本科	3.2	好大夫在线	0.99	5
144	2022-04-09	其他_1	北京/上海/广州/深圳/杭州/成都/厦门/武汉	本科	1.3	美团	0.99	1
145	2022-03-04	开发岗_1	上海	本科	1.3	泽尔测试	0.97	1
146	2022-04-09	运营岗_1	北京/广州/上海/深圳/杭州/南京/厦门/成都/武汉/西安	本科	1.3	字节跳动	0.99	1
147	2022-03-12	算法岗_1	上海	硕士	4.4	智加科技	0.94	13
148	2022-03-15	开发岗_1	上海	本科	0.9	上海科通实业有限公司	0.99	1
149	2022-03-19	其他_1	北京	本科	1.8	闪电快车	0.99	2
150	2022-03-10	工程师_1	北京/上海/深圳/成都	本科	3.5	SmartX	0.99	15
151	2022-04-14	工程师_1	绍兴	本科	1.3	泛微网络	1	1
152	2022-04-14	运营岗_1	北京	本科	1.1	英雄游戏	0.99	2
153	2022-03-10	算法岗_1	深圳	硕士	3.0	广东虚拟现实科技有限公司	1	2
154	2022-05-24	算法岗_1	北京	硕士	3.7	迁移科技	0.99	10
155	2022-04-20	开发岗_1	北京	本科	2.4	柠檬微趣	1	3
156	2022-03-28	算法岗_1	深圳	本科	3.2	云鲸智能	0.98	1
157	2022-04-07	开发岗_1	深圳/东莞/南京/成都/上海/北京/西安	本科	2.6	华为	0.93	20
158	2022-04-12	其他_1	上海	本科	1.2	链家上海分公司1895	1	7
159	2022-05-09	其他_1	北京/上海/广州/深圳/杭州/成都	本科	2.7	网易有道	0.99	8
160	2022-03-24	设计岗_1	北京	本科	1.6	北京嘀果技术服务有限公司	0.98	1
161	2022-05-15	工程师_1	北京	硕士	1.2	龙鼎源	1	3
162	2022-05-14	算法岗_1	上海	本科	2.2	吉首市名凡企业咨询中心	1	3
163	2022-05-19	开发岗_1	北京	本科	3.2	好大夫在线	0.99	5
164	2022-04-12	数据岗_1	北京	本科	1.3	美团	0.99	1
165	2022-04-12	其他_1	深圳	本科	0.9	蓝禾技术	0.91	3
166	2022-05-09	数据岗_1	北京/广州/上海/深圳/杭州/南京/成都/厦门/武汉/西安	本科	1.3	字节跳动	0.99	1
167	2022-03-03	培训岗_1	南京/武汉/沈阳/长春/吉林/无锡/徐州/福州/厦门/济南/佛山/东莞/南宁/贵阳/乌鲁木齐/重庆/上海/哈尔滨/郑州/洛阳/海口/昆明/大连/锦州/三明/齐齐哈尔/佳木斯/柳州/玉林/苏州	本科	1.3	拼多多	0.99	3
168	2022-03-10	其他_1	上海	本科	0.9	上海科通实业有限公司	0.99	1
169	2022-04-12	开发岗_1	南京/上海/北京	硕士	2.2	南京集成电路设计服务产业创新中心有限公司	1	3
170	2022-05-10	其他_0	北京	本科	4.5	360公司	0.99	1
171	2022-03-06	开发岗_1	上海	硕士	2.1	北京经纬恒润科技股份有限公司	0.93	4
172	2022-03-05	运营岗_1	北京	本科	1.0	英雄游戏	0.99	2
173	2022-03-04	其他_1	上海	本科	2.4	Shopee	0.99	8
174	2022-05-09	算法岗_1	北京	硕士	3.7	迁移科技	0.99	10
175	2022-04-15	其他_1	武汉	本科	0.9	珍岛集团	1	1
176	2022-05-14	工程师_1	深圳	本科	2.5	云鲸智能	0.98	1
177	2022-03-15	开发岗_1	东莞	本科	1.3	华为	1	2
